Fecha ,Tasa ,IPC
9/12/2008,2333.54,69.80
10/12/2008,2311.70,69.80
11/12/2008,2302.93,69.80
12/12/2008,2278.29,69.80
13/12/2008,2273.24,69.80
14/12/2008,2273.24,69.80
15/12/2008,2273.24,69.80
16/12/2008,2254.50,69.80
17/12/2008,2223.30,69.80
18/12/2008,2173.86,69.80
19/12/2008,2163.14,69.80
20/12/2008,2167.35,69.80
21/12/2008,2167.35,69.80
22/12/2008,2167.35,69.80
23/12/2008,2169.83,69.80
24/12/2008,2180.49,69.80
25/12/2008,2198.09,69.80
26/12/2008,2198.09,69.80
27/12/2008,2204.95,69.80
28/12/2008,2204.95,69.80
29/12/2008,2204.95,69.80
30/12/2008,2234.00,69.80
31/12/2008,2243.59,69.80
1/01/2009,2243.59,70.21
2/01/2009,2243.59,70.21
3/01/2009,2234.81,70.21
4/01/2009,2234.81,70.21
5/01/2009,2234.81,70.21
6/01/2009,2227.24,70.21
7/01/2009,2197.72,70.21
8/01/2009,2214.13,70.21
9/01/2009,2220.82,70.21
10/01/2009,2216.23,70.21
11/01/2009,2216.23,70.21
12/01/2009,2216.23,70.21
13/01/2009,2216.23,70.21
14/01/2009,2226.87,70.21
15/01/2009,2234.40,70.21
16/01/2009,2249.64,70.21
17/01/2009,2227.68,70.21
18/01/2009,2227.68,70.21
19/01/2009,2227.68,70.21
20/01/2009,2227.68,70.21
21/01/2009,2245.28,70.21
22/01/2009,2245.97,70.21
23/01/2009,2247.87,70.21
24/01/2009,2280.77,70.21
25/01/2009,2280.77,70.21
26/01/2009,2280.77,70.21
27/01/2009,2280.43,70.21
28/01/2009,2310.83,70.21
29/01/2009,2341.09,70.21
30/01/2009,2386.58,70.21
31/01/2009,2420.26,70.21
1/02/2009,2420.26,70.80
2/02/2009,2420.26,70.80
3/02/2009,2450.78,70.80
4/02/2009,2443.67,70.80
5/02/2009,2469.02,70.80
6/02/2009,2472.65,70.80
7/02/2009,2449.49,70.80
8/02/2009,2449.49,70.80
9/02/2009,2449.49,70.80
10/02/2009,2450.60,70.80
11/02/2009,2494.07,70.80
12/02/2009,2537.82,70.80
13/02/2009,2520.06,70.80
14/02/2009,2509.50,70.80
15/02/2009,2509.50,70.80
16/02/2009,2509.50,70.80
17/02/2009,2509.50,70.80
18/02/2009,2554.40,70.80
19/02/2009,2558.14,70.80
20/02/2009,2547.40,70.80
21/02/2009,2588.31,70.80
22/02/2009,2588.31,70.80
23/02/2009,2588.31,70.80
24/02/2009,2572.30,70.80
25/02/2009,2596.37,70.80
26/02/2009,2575.50,70.80
27/02/2009,2555.05,70.80
28/02/2009,2555.89,70.80
1/03/2009,2555.89,71.15
2/03/2009,2555.89,71.15
3/03/2009,2590.97,71.15
4/03/2009,2588.96,71.15
5/03/2009,2589.48,71.15
6/03/2009,2572.92,71.15
7/03/2009,2548.57,71.15
8/03/2009,2548.57,71.15
9/03/2009,2548.57,71.15
10/03/2009,2559.36,71.15
11/03/2009,2525.06,71.15
12/03/2009,2506.73,71.15
13/03/2009,2481.26,71.15
14/03/2009,2445.30,71.15
15/03/2009,2445.30,71.15
16/03/2009,2445.30,71.15
17/03/2009,2390.96,71.15
18/03/2009,2390.98,71.15
19/03/2009,2383.15,71.15
20/03/2009,2335.29,71.15
21/03/2009,2340.83,71.15
22/03/2009,2340.83,71.15
23/03/2009,2340.83,71.15
24/03/2009,2340.83,71.15
25/03/2009,2353.21,71.15
26/03/2009,2379.94,71.15
27/03/2009,2435.81,71.15
28/03/2009,2485.56,71.15
29/03/2009,2485.56,71.15
30/03/2009,2485.56,71.15
31/03/2009,2561.21,71.15
1/04/2009,2544.24,71.38
2/04/2009,2534.99,71.38
3/04/2009,2451.72,71.38
4/04/2009,2422.71,71.38
5/04/2009,2422.71,71.38
6/04/2009,2422.71,71.38
7/04/2009,2408.42,71.38
8/04/2009,2416.63,71.38
9/04/2009,2388.11,71.38
10/04/2009,2388.11,71.38
11/04/2009,2388.11,71.38
12/04/2009,2388.11,71.38
13/04/2009,2388.11,71.38
14/04/2009,2392.22,71.38
15/04/2009,2394.27,71.38
16/04/2009,2380.69,71.38
17/04/2009,2344.98,71.38
18/04/2009,2343.34,71.38
19/04/2009,2343.34,71.38
20/04/2009,2343.34,71.38
21/04/2009,2376.38,71.38
22/04/2009,2338.60,71.38
23/04/2009,2318.83,71.38
24/04/2009,2300.74,71.38
25/04/2009,2283.20,71.38
